,ts_code,business_scope
11,300290.SZ,许可经营项目：第二类增值电信业务中的信息服务业务（不含固定网电话信息服务和互联网信息服务）；一般经营项目：计算机软硬件技术、电控工程技术开发；计算机系统集成（持资质证经营）及咨询服务，计算机及辅助设备、通讯器材、机械电子设备销售，建筑智能化工程、防雷电工程、安全技术防范设施工程、弱电工程设计、施工，计算机房装修及综合布线（上述项目持资质证经营），计算机系统维护， 多媒体教学设备、特教仪器设备、教学器材、医疗器械销售； 自营和代理各类商品和技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
12,300425.SZ,节能、环保高新技术、矿选技术、资源回收再生技术、新材料研发技术、电子应用软件研发及技术服务；节能、环保高新技术产品、矿选设备、资源回收再生设备、新材料研发、制造、销售；环境污染治理工程施工总承包；环保工程施工；水利水电工程、市政公用工程、建筑工程；机电工程设计、施工；环境污染治理设施运营；水污染治理；其他环境治理；高新技术开发、咨询、技术服务；货物进出口，技术进出口；自有房屋租赁及物业管理；环境工程设计；土壤、地下水修复；环保设备开发、生产（仅限分支机构在工业园区内从事生产经营）、租赁、销售及技术服务；大气污染治理；环境信息系统开发；油泥砂处理技术服务；油田污水处理技术服务；油田污泥处理技术服务。
13,002628.SZ,公路、桥梁、隧道、市政工程、给排水工程、交通安全设施、机电通讯、绿化、公路维护保养、园林绿化工程、水利水电工程、机场场道工程；项目投资及项目建设管理服务；工程机械、建筑材料租赁，工程机械、车辆维修；生产出售商品混凝土，商品砂浆和提供混凝土运输和泵送服务。承包境外公路工程及境内国际招标工程及所需设备材料出口、对外派遣实施上述境外工程所需的劳务人员。房屋建筑施工、勘测设计。
14,300790.SZ,研发、生产、加工、销售：光学镜片、光学镜头、光学仪器、光学塑胶零件；货物进出口、技术进出口(法律、行政法规禁止的项目除外；法律、行政法规限制的项目须取得许可后方可经营)。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
15,002919.SZ,化妆品生产；化妆品加工、销售、技术开发、技术服务、技术咨询；食品生产；食品销售；医疗器械生产；医疗器械经营；消毒产品生产；消毒产品加工、销售；生产、加工、销售：洗涤剂，牙膏，卫生用品，家用电器，健身器材，塑料制品，工艺品（象牙、犀角及其制品除外），玩具，服装，化工产品（危险化学品除外），日用百货，五金配件；印刷品印刷；股权投资；货物或技术进出口。 (国家禁止或涉及行政审批的货物和技术进出口除外)。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
16,300625.SZ,电气机械和器材制造业：一般经营范围：电工器材制造；电器辅件、配电或控制设备的零件制造；家用通风电器具制造；照明器具生产专用设备制造；照明灯具制造；电光源制造；家用电力器具专用配件制造；配电开关控制设备制造；灯用电器附件及其他照明器具制造；LED芯片封装及销售、LED应用技术开发与应用服务；安全智能卡类设备和系统制造；电线、电缆制造；家用厨房电器具制造；建筑装饰及水暖管道零件制造；电工器材的批发；家用电器批发；电线、电缆批发；五金产品批发；灯具、装饰物品批发；开关、插座、接线板、电线电缆、绝缘材料零售；电工器材零售；五金零售；灯具零售；日用家电设备零售；日用灯具零售；货物进出口(专营专控商品除外)；技术进出口。
17,300250.SZ,计算机软件、办公自动化设备、光纤通讯设备、数据接入设备、视频通讯设备、综合网络管理及服务提升系统的技术开发、技术服务、成果转让，数字复合和传输接口设备、电视电缆和电力线传输设备、无源光传输设备、数据通信设备、移动数据终端设备、光电通信设备、接入网系统设备、数字网络机顶盒、通信系统设备的设计、生产、销售、 维修、 技术服务、技术咨询，计算机网络工程安装，信息系统集成，集成电路、通讯设备及零部件、电子产品、机械设备、仪器仪表、办公用品、计算机及外部设备、化工产品（除化学危险品及易制毒化学品）的销售，经营进出口业务。（依法须经批准的项目，经相关部门批准后方可开展经营活动)
18,300410.SZ,研发、生产、加工、销售：机器人、电子仪器设备及其软件、电子材料、日用口罩（非医用）、医疗器械（第二类医疗器械）；生产线装备系统集成；设备租赁；货物的进出口业务； 物业租赁；物业管理。 (依法须经批准的项目，经相关部门批准后方可开展经营活动。
19,002902.SZ,研发、产销：半导体材料及器件、集成电路产品、微电子产品、光电产品、电子产品、网络通信磁性元器件、通信用连接器组件、光电模块、光器件、电源类产品、照明光源、灯具、日用小家电、五金制品、塑胶制品；研发、产销、维修保养：光伏逆变器和控制器、风能控制器、通信电源、不间断电源、储能电源、应急电源、蓄电池管理装置、通信用机柜及其配套产品、低压成套开关设备、网络通信终端、电动车充电器及充电桩；数据中心、通信系统、太阳能和风能供电系统的工程设计、集成、安装调测和保养； 道路普通货运；货物进出口、技术进出口。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
20,300621.SZ,建筑装饰工程设计与施工，建筑材料、装饰材料的购销；建筑幕墙专项设计与施工；机电设备安装工程、消防设施工程、建筑智能化工程的施工；自有物业的租赁和管理。
21,002795.SZ,水暖管件、阀门、卫生洁具、塑胶制品、建筑及家具用金属配件、远程控制系统、智能建筑控制系统以及其他流体控制设备及配件的研发、制造和销售。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
22,300665.SZ,水性涂料、油性涂料、防水建筑材料、建筑涂料、非水性涂料、环保新型复合材料、合成树脂、新型装饰材料、新型耐磨及防腐工程材料、胶粘材料、化学试剂和助剂（监控化学品、危险化学品除外）的研发、生产、销售、及施工服务；危险化学品生产（有效期至 2021 年 1 月 22 日）及销售（限在其厂区范围内销售）；机械设备及配件的研发、生产、销售；自营和代理各类商品及技术的进出口，但国家限定公司经营或禁止进出口的商品和技术除外；货物或技术进出口（ 国家禁止或涉及行政审批的货物和技术进出口除外）；贸易代理。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
23,300545.SZ,一般经营项目：电子半导体工业自动化设备；光电平板显示（ LCD/LCM/TP/OLED/PDP）工业自动化设备、检测设备、其他自动化非标专业设备，口罩机的研发、生产与销售、调试安装及售后服务； 设施、工装夹具、工控软件的研发、设计、生产、销售和技术服务；货物及技术进出口； 劳保（口罩、防护服、手套）的生产与销售。（法律、行政法规、国务院决定规定在登记前须批准的项目除外）；许可经营项目：普通货运（不含危险货物运输及凭道路运输经营许可证经营）。
24,002742.SZ,硫酸、二氧化硫[液态的]、焦亚硫酸钠的生产、销售；普通货运；货物专用运输(罐式)。制造销售混凝土外加剂，混凝土膨胀剂，水泥，液体葡萄糖酸钠；销售建筑材料(不含危险化学品)，石膏及制品，生产食品添加剂；药品生产、销售；医药、建筑材料及化工产品技术开发、技术转让、咨询服务；货物进出口及技术进出口。由具备资格的分支机构经营：生产、加工、销售预拌商品混凝土；开采、销售石膏和碎石。(以上经营范围以公司登记机关核定为准)。
25,300567.SZ,平面显示技术的研发；液晶测试系统、 有机发光二极管显示器测试系统、计算机测控系统集成、 机电自动化设备的研发、生产、销售及技术服务； 太阳能、锂电池及其它新能源测试系统、电源测试系统的研发、生产、销售及技术服务；芯片设计、半导体测试设备的研发、生产、销售及技术服务； 货物及技术进出口（国家禁止或限制进出口的货物及技术除外）；电子产品设计、生产、销售。（依法须经审批的项目，经相关部门审批后方可开展经营活动）
26,002912.SZ,通讯产品的技术开发、服务、咨询、购销。(凡涉及特许经营的项目须经有关部门批准后方可经营；不涉及的，企业自主选择项目开展经营活动)；从事货物、技术进出口业务(不含分销、国家专营专控商品)；投资咨询、企业管理咨询、商务信息咨询(以上均不含限制项目)；投资管理(不得从事信托、金融资产管理、证券资产管理、保险资产管理及其它限制项目)；生产通讯所涉及的宽带网络ATM、通讯雷达。
27,300270.SZ,应用软件的技术开发、技术服务、成果转让；计算机系统集成，安防工程的设计、施工，楼宇智能化工程的设计、施工，安防产品、通信产品、计算机软件的生产和销售；经营进出口业务；有形动产租赁业务、融资租赁业务、租赁业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
28,300536.SZ,园林建筑、园林景观绿化、市政公用工程设计与施工；环境工程设计；建筑工程、水利水电工程、城市及道路照明工程、环保工程、室内外装饰装修工程、古建筑工程施工；水电、暖通、电器制造及安装；计算机软件的开发与销售；苗木、花卉、建筑材料、工业设备销售；水土保持；生态修复；园林养护；工程咨询；技术进出口、货物进出口、代理进出口业务（不含国家禁止或限制进出口的货物或技术）；旅游资源的开发及利用。（依法须经审批的项目，经相关部门审批后方可开展经营活动）
29,300357.SZ,许可经营项目:生产销售变态反应原制品、体内诊断试剂。二类:医用化验和基础设备器具的销售。一般经营项目:研究开发口服脱敏药、生物及化学制剂药品、生物及化学医药原料、医药包装材料、保健食品以及研究开发上述产品所需的机械设备、仪器仪表；并提供相关技术咨询、技术服务；经营进出口业务。(上述经营范围不含国家法律法规规定禁止、限制和许可经营的项目。)
30,300348.SZ,计算机软、硬件及电子仪器的开发及服务，网络技术的开发及服务；兴办实业（具体项目另行申报）；国内商业、物资供销业（不含专营、专控、专卖商品）。计算机系统集成（不含限制项目）。信息技术咨询；信息系统设计、集成、运行维护；人力外包；劳务派遣。人才培训。自有房屋租赁。以承接服务外包方式提供系统应用管理和维护、信息技术支持管理、数据处理管理技术和业务流程外包服务；从事技术进出口业务经营。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
31,300160.SZ,生产冰箱玻璃、汽车玻璃、家居玻璃，生产钢化、中空、夹胶、热弯、镶嵌玻璃，生产高级水族箱、玻璃纤维制品及其他玻璃制品，生产膜内注塑制品；销售本企业所生产的产品。
32,300417.SZ,研制、生产、销售： 仪器仪表，机动车检测及诊断设备、配件，环保设备和软件系统及其安装、调试、运行维护与服务，自动系统，计算机及配套设备，计算机软件开发、销售； 计算机网络工程安装及售后维修、 咨询服务； 房屋租赁，设备租赁服务。 (依法须经批准的项目，经相关部门批准后方可开展经营活动。 )
33,300243.SZ,制造销售塑料助剂； 生物材料、降解塑料的树脂及制品的生产、研发和经营；合成橡胶制造和销售。 （依法须经批准的项目，经相关部门批准后方可开展经营活动）
34,300484.SZ,软硬件技术开发；变频器、伺服驱动器和系统、电动汽车电机控制器、太阳能光伏逆变器和水泵控制器、电子逆变焊机、电子加热装置、软起动器的研发、生产、销售、系统集成、技术咨询；兴办实业（具体项目另行申报）；国内贸易；经营进出口业务； 新能源汽车租赁服务（不含融资租赁） 、运营管理服务、 房屋租赁（以上均不含法律、行政法规、国务院决定规定需前置审批和禁止的项目） 。
35,300364.SZ,互联网图书、互联网文学、互联网期刊、互联网教育出版物出版、手机出版、 互联网游戏、手机游戏出版（出版物经营许可证有效期至 2021 年 12月 31 日）； 制作，发行动画片、专题片、电视综艺、 不得制作时政新闻及同类专题、专栏等广播电视节目（广播电视节目制作经营许可证有效期至 2021 年 03月 31 日）；图书、期刊、电子出版物批发、零售、网上销售（出版物经营许可证有效期至 2022 年 04 月 30 日）； 第二类增值电信业务中的信息服务业务（仅限互联网信息服务）（增值电信业务经营许可证有效期至 2022 年 03 月 15 日）； 第二类增值电信业务中的信息服务业务（不含互联网信息服务）（增值电信业务经营许可证有效期至 2022 年 03 月 23 日）；电子出版物（限于电子书）复制业务、 包括、 出版物内容的数字转换、编辑加工、数字芯片植入（电子出版物出版、复制许可证有效期至 2023 年 02 月 28 日）；利用信息网络经营游戏产品、 动漫产品、从事网络文化产品的展览、比赛活动（文化经营许可证有效期至 2020 年 12 月30 日）；电视剧制作；电影发行；出租办公用房、 出租商业用房；组织文化艺术交流活动；技术开发、转让、咨询、服务、培训；信息源技术服务；零售开发后的产品；经济信息咨询（除中介服务）；投资咨询；图文电脑设计；承办展览展示活动；代理发布广告；货物进出口、技术进出口、代理进出口。
36,300475.SZ,机器人核心零部件、家用电器核心零部件、模具的研发、生产、销售；房屋租赁；自营本公司产品和技术的进出口业务(国家限定公司经营或禁止进出口的产品和技术除外)(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
37,300176.SZ,设计、制造、加工、销售：铝合金精密压铸件、汽车零配件、汽车双离合器变速器(DCT)关键零件及部件、通讯类零配件；自有设备租赁(非监管设备)；互联网信息服务；互联网信息技术开发、技术咨询、技术转让；股权投资；投资咨询(不含金融、证券、期货咨询)；经济信息咨询服务；电子结算系统的开发；数据处理和存储服务；企业征信服务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)
38,300355.SZ,生态环境的修复、治理、 保护，及相关技术的开发、转让、咨询、服务；乡土植物(节水、抗旱、耐寒植物)的研发、生产、销售及技术服务；羊草、冰草、苜蓿等牧草、生态种子生产；牧草种子批发零售。承揽各种园林绿化工程，包括整地、栽植、建筑及小品、花坛、园路、水系、喷泉、假山、雕塑、广场铺装、驳岸、桥梁、码头等园林设施及设备安装项目；承揽各种规模及园林绿化综合性养护管理工程；园林绿化苗木、花卉、盆景、草坪的培育、生产、经营及园林绿化相关技术咨询和信息服务；智能温室的建设与运营；风景园林工程设计专项甲级（凭资质证书经营）；地质灾害治理工程施工；市政公用工程总承包； 建筑工程施工总承包； 水利水电工程施工总承包； 环保工程专业承包； 农、林、草、畜大数据服务平台建设、技术研究、咨询、开发、应用、服务与转让及互联网信息化运用相关的软硬件服务、咨询服务；沙地及沙漠治理、荒漠化治理、盐碱地治理、湿地治理、土壤修复、矿山修复、道路边坡治理、废弃地修复、草原修复、 土地整治服务；工程围栏装卸施工；农作物病虫害防治服务；林业有害生物防治服务；体育场地设施工程施工；绿化管理； 造林和更新、规划管理、游览景区管理、自有房屋租赁、物业管理。（法律、行政法规、国务院决定规定应经许可的，未获许可不得生产经营）
39,300255.SZ,经营本企业自产产品和技术的出口业务和本企业所需的原辅材料、机械设备、零配件及技术的进口业务（国家限定公司经营和禁止进出口的商品及技术除外）；片剂、硬胶囊剂、小容量注射剂、原料药（肝素钠、肝素钙、低分子量肝素钠（依诺肝素钠、达肝素钠）、低分子量肝素钙（那屈肝素钙）、无蛋白肝素粗品、类肝素、肝素锂、透明质酸钠、枸橼酸西地那非）、保健食品的生产和销售。
40,002681.SZ,兴办实业(具体项目另行申报)；电声产品、玩具产品、塑胶产品、电子产品、及其元器件的产销；通信设备、通信软件、网络工程、从事通讯工程技术领域内的技术开发、生产、技术咨询、技术服务及市场营销；国内商业、物资供销业；货物及技术进出口(以上均不含法律、行政法规、国务院决定规定需前置审批和禁止的项目)。普通货运。
41,300639.SZ,生产、研发、销售各类适用于科研、教育的高科技生物检测仪器及试剂（法律、法规规定须前置许可审批的 225 种化学试剂除外）、生物化学检测仪器、实验、实训设备和软件产品及教学实验室配套基础建设、装修工程；机电产品；化学原料（不含危险化学品）；教育、医疗仪器设备维修（不含计量器具）及技术服务；计算机软件的设计、开发、维修及技术服务；医疗生物检测仪器的研发；生产、销售：医疗器械。（依法须经批准的项目，经相关部门批准后方可开展经营活动）。
42,300740.SZ,计算机软件销售；信息技术咨询服务；计算机技术咨询；计算机网络系统工程服务；计算机技术开发、技术服务；化妆品零售；日用品销售；清洁用品销售；家用电器零售；化工原料（监控化学品、危险化学品除外）销售；生物技术开发服务；电子产品生产；电子产品零售；企业管理咨询服务；广告制作服务；广告发布服务；广告国内代理服务；广告设计；化妆品的研发。（ 依法须经批准的项目，经相关部门批准后方可开展经营活动）
43,300655.SZ,生产电子工业用超纯化学材料（硫酸、硝酸、盐酸、氢氟酸、乙酸［含量＞80%］、 2-丙醇、氟化铵、过氧化氢［ 20%≤含量≤60%］、氨溶液［ 10%＜含氨≤35%］ 及液体消毒剂【过氧乙酸（含餐具洗涤剂） [含量≤43%，含水≥5%，含乙酸≥35%，含过氧化氢≤6%，含有稳定剂]、过氧化氢】，开发生产电子工业用超纯化学材料，销售公司自产产品；从事一般化学品和危险化学品（按有效的《危险化学品经营许可证》所列项目及方式经营）的批发业务（不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）；提供相关技术服务、咨询和技术转让。（依法须经批准的项目，经相关部门批准后方可开展经营活动）（外资比例小于 25%）
44,002646.SZ,白酒研发、生产、销售； 其他酒(其他蒸馏酒)研发、生产、销售；包装装潢品制造；动物养殖(野生动物除外)；进口本公司生产、科研所需的原材料、机械设备、仪器仪表零配件；出口本公司自产的青稞酒系列；谷物种植；粮食收购； 饲料的研发、生产、销售；生物科技技术开发及其产品研发；代用茶类、植物提取物、食品添加剂、化妆品、预包装食品、散装食品以及其他农副产品类的研发、生产、销售；仓储服务(不含化学危险品及易制毒化学品）。
45,002838.SZ,弹性体、改性塑料产品的开发、生产与经营，经营本企业自产产品及技术的出口和本企业所需的机械设备、零配件、原辅材料及技术的进出口业务（国家限定公司经营或者禁止进出口的商品及技术除外）；实验室检测、实验室检验、检验检测技术服务与咨询。（不含国家限制、禁止类项目；依法须经批准的项目，经相关部门批准后方可开展经营）
46,300391.SZ,生产、销售：涡轮增压器、内燃机及零部件；涡轮增压器领域的新产品、新技术、新工艺的研究和开发，进出口业务(以上范围涉及资格证书的，按资格证书核准的经营范围执行)。
47,002982.SZ,凭企业有效许可证从事畜牧良种繁殖服务；畜禽饲养及销售；牲畜、禽类屠宰及销售；饲料的加工销售；肉制品及副产品加工、销售；兽用药品的销售；林木育苗（不含种子）；养殖设备销售；农林牧渔技术推广服务；有机肥料及微生物肥料制造、销售；蛋的销售；食品的互联网销售；冷藏车道路运输、装卸搬运；低温仓储；货物或技术进出口（国家禁止或涉及行政审批的货物和技术进出口除外）；检验检疫服务、检测服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
48,300606.SZ,制造、销售：砂布、砂纸制品等涂附磨具、磨料及专用设备；开发销售智能数控装备，消费电子产品制造及加工；货物进出口、技术进出口（法律、行政法规规定禁止的项目除外；法律、行政法规规定限制的项目须取得许可后方可经营）。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
49,002542.SZ,工业、交通与民用各类建筑项目的岩土工程勘察、设计；地基与基础工程的施工；特种专业工程施工；土石方施工；深基坑支护方案的施工；岩土工程质量检测与评价；岩土工程新技术与设备的开发研制；岩土工程技术咨询；道路货物运输；地质灾害治理工程小型项目的勘查、设计、施工；销售工程机械、建筑材料、化工产品（不含危险化学品及一类易制毒化学品）；租赁工程机械设备；承包与公司实力、规模、业绩相适应的国外工程项目；对外派遣实施上述境外工程所需的劳务人员；工程咨询；建设工程质量检测；技术开发、技术转让、技术咨询、技术服务；货物进出口；技术进出口；投资管理；环境监测。（企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。）
50,002728.SZ,医药制造业(凭有效《药品生产许可证》经营)；保健品生产；医疗器械、日用品批发；技术服务；房屋租赁。(依法须经批准的项目，经相关部门批准后方可开展经营活动。)
51,002552.SZ,新材料、新能源、环保材料的研发、设计、销售、技术服务与咨询，环保设备的研发、设计、销售及安装服务，环保工程的设计、技术开发、技术服务与咨询，工程总承包，铸钢件、铸铁件锻造、工艺研发、金属加工，模具的生产，起重设备、通用机械的技术开发、设计、制造、销售，压力容器的设计、销售，从事进出口业务。
52,002641.SZ,一般项目：塑料制品制造；塑料制品销售；玻璃纤维增强塑料制品制造；玻璃纤维增强塑料制品销售；建筑装饰、水暖管道零件及其他建筑用金属制品制造；建筑装饰材料销售；模具制造；模具销售；五金产品制造；五金产品零售；普通阀门和旋塞制造；阀门和旋塞销售；橡胶制品制造；橡胶制品销售；塑料加工专用设备制造；塑料加工专用设备销售；工业机器人制造；工业机器人销售；专用化学产品制造（不含危险化学品）；专用化学产品销售（不含危险化学品）；涂料制造（不含危险化学品）；涂料销售（不含危险化学品）；卫生陶瓷制品制造；卫生陶瓷制品销售； 卫生洁具制造；卫生洁具零售；通用零部件制造；环境保护专用设备销售；互联网销售（除销售需要许可的商品）；住宅室内装饰装修；住宅水电安装维护服务；工程管理服务；智能水务系统开发；技术服务、技术开发、技术咨询、技术交流、技术转让、技术推广；股权投资；创业投资(除依法须经批准的项目外，凭营业执照依法自主开展经营活动)。许可项目：货物进出口；技术进出口(依法须经批准的项目，经相关部门批准后方可开展经营活动，具体经营项目以审批结果为准)。
53,002691.SZ,矿用采掘机械、矿用运输设备、矿用电器及仪表、风动设备、电动设备及配件、通讯设备及器材、钻具、锚具、锚固用品的生产销售、机械加工；本企业自产产品及技术的出口业务和本企业所需的机械设备、零配件、原辅材料及技术的进出口业务，国家限定或禁止的商品和技术除外；设备租赁；自产产品的维修服务，自有房屋租赁；煤炭销售。
54,002876.SZ,偏光片、保护膜、太阳膜的生产销售，光电材料的研发与销售，国内商业、物资供销业、货物及技术进出口(以上均不含法律、行政法规、国务院决定禁止及规定需前置审批项目)；普通货运(有效期至2011年9月30日)。
55,002760.SZ,合金钢及其零部件、耐磨金属及其零部件、铸钢铸铁件、冷铸模(铸造)、金属护壁板等耐磨材料制造和销售；机械设备制造和销售；经营本企业生产、科研所需的原辅材料、仪器仪表、零配件及相关技术的进口业务；开展对外合资经营、合作生产及“三来一补”业务；房屋租赁、场地租赁、机械设备租赁；来料加工。
56,002723.SZ,研发、生产、销售：灯具、灯饰及配件、家用电器、五金制品、厨房用品；生产：密封型铅酸蓄电池；自营产品和技术进出口业务（国家限制和禁止及法律、法规规定需前置审批的项目除外）。（依法须经批准的项目，经相关部门批准后方可开展经营活动。）
57,002817.SZ,药用空心胶囊制造、销售，企业自产药用空心胶囊出口、企业生产、科研所需的原辅材料机械设备、仪器仪表及零配件进口。
58,300312.SZ,通信设备、仪器仪表、计算机软件、电力输配电及控制设备、电工器材、电气机械、广播电视设备的技术开发、技术转让、技术咨询、技术服务、技术培训；批发通信设备、仪器仪表、计算机软件、硬件及辅助设备、电力输配电及控制设备、电工器材、电气机械、广播电视设备(不含卫星电视广播地面接收设施)；计算机系统服务；通信信息网络系统集成、通信用户管线建设；通信设备租赁；投资及投资管理；货物进出口、技术进出口。
59,002941.SZ,公路工程施工总承包特级；工程设计公路行业甲级；公路路面工程专业承包壹级；公路工程路基工程专业承包壹级；市政公用工程施工总承包壹级；桥梁工程专业承包壹级，水利水电工程施工总承包叁级，铁路工程施工总承包叁级；承包与其实力、规模、业绩相适应的国外工程项目及对外派遣实施上述境外工程所需的劳务人员，一般货物与技术的进出口经营，交通安全设施施工及安装；公路工程施工及养护中的新技术、新型建材的开发、生产及销售，钢材、水泥、沥青、添加剂、智能信息化设备、公路建筑材料的销售、对外技术服务及机械设备、五金交电及电子产品销售； 不动产经营租赁，有形动产租赁; 公路工程相关材料技术研发服务、咨询服务。（依法须经批准的项目，经相关部门批准后方可开展经营活动）
60,300521.SZ,研究、开发激光、电压打印喷头技术、机械设备技术，生产打印设备及零配件，销售本企业产品，提供相关技术咨询、售后服务。从事机械设备及其相关零配件的批发、零售、进出口业务（不设店铺经营，不涉及国营贸易管理商品，涉及配额、许可证管理商品的，按国家有关规定办理申请）及技术进出口。 新技术有色金属材料生产，电子元器件零售、电子元器件批发，电子元件及组件制造，机械设备租赁、房屋租赁。
61,002958.SZ,吸收本外币公众存款；发放本外币短期、中期和长期贷款；办理国内外结算；办理票据承兑与贴现；代理发行、代理兑付、承销政府债券；买卖政府债券、金融债券；从事本外币同业拆借；从事银行卡(借记卡)业务；代理收付款项及代理保险业务；提供保管箱服务；外汇汇款；买卖、代理买卖外汇；提供信用证服务及担保；外汇资信调查、咨询和见证业务；基金销售；经中国银行业监督管理委员会批准的其他业务。(依法须经批准的项目，经相关部门批准后方可开展经营活动)。
62,300464.SZ,研发生产销售各类精密五金制品；研发制造销售自动化装配设备及技术服务；经营和代理各类商品及技术的进出口业务(国家限定经营或禁止进出口的商品及技术除外，涉及许可证的必须凭有效许可证经营)。
63,300773.SZ,银行卡收单；互联网支付；数字电视支付；预付卡受理；移动电话支付(中华人民共和国支付业务许可证有效期至2021年05月02日)；技术开发、技术咨询、技术转让、技术服务；计算机系统集成；设计、制作、代理、发布广告；销售自主研发的产品。(企业依法自主选择经营项目，开展经营活动；依法须经批准的项目，经相关部门批准后依批准的内容开展经营活动；不得从事本市产业政策禁止和限制类项目的经营活动。)
64,300366.SZ,(以下范围不含前置许可项目，后置许可项目凭许可证或审批文件经营)互联网信息服务；软件和信息技术服务业；商品批发与零售； 增值电信业务。（ 依法须经批准的项目，经相关部门批准后方可开展经营活动）
65,002798.SZ,制造、销售：卫浴产品、水暖材料、建材，相关产品出口及相关原材料进口；纸箱加工与制造；洁具产品的安装、维修及售后服务、咨询服务；设计、制造、销售、安装：家具、橱柜，以及提供售后服务。（以上经营范围不含国家法律法规限制或禁止的项目，涉及国家规定实施准入特别管理措施的除外，涉及许可证的凭相关许可证方可开展经营活动）。
